cluster_name,nominal_vlass_coverage,_r,recno,CompName,CompId,IslId,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Ftot,e_Ftot,Fpeak,e_Fpeak,Maj,e_Maj,Min,e_Min,PA,e_PA,FtotIsl,e_FtotIsl,Islrms,Islmean,ResIdIslrms,ResidIslmean,RAMdeg,DEMdeg,e_RAMdeg,e_DEMdeg,SCode,Xposn,e_Xposn,Yposn,e_Yposn,XposnMax,e_XposnMax,YposnMax,e_YposnMax,MajImgPlane,e_MajImgPlane,MinImgPlane,e_MinImgPlane,PAImgPlane,e_PAImgPlane,DCMaj,e_DCMaj,DCMin,e_DCMin,DCPA,e_DCPA,DCMajImgPlane,e_DCMajImgPlane,DCMinImgPlane,e_DCMinImgPlane,DCPAImgPlane,e_DCPAImgPlane,Tile,Subtile,RASdeg,DESdeg,NVSSdist,FIRSTdist,PeakToRing,DupFlag,QualFlag,NNdist,BMaj,BMin,BPA,MainSample,QLcutout,arcsec_sep_from_bcg
LoVoCCS-12,True,1.286,1944831.0,VLASS1QLCIR J134728.36-325153.3,23.0,26.0,206.86819002,-32.86481948,1.735e-05,3.121e-05,2.671,0.2809999883174896,1.828,0.12300000339746475,3.4433,0.2742,2.2665,0.1283,162.6135,7.9653,2.945,0.2639999985694885,0.11800000071525574,0.0,0.11699999868869781,0.029,206.86819002,-32.86481948,1.735e-05,3.121e-05,S,1131.06213,0.06247,545.83483,0.11237,1131.06213,0.06247,545.8348,0.1124,3.4432,0.2742,2.2664,0.1283,162.7444,7.9653,2.3683,0.2742,0.6336,0.1283,172.5514,7.9653,2.3683,0.2742,0.6336,0.1283,172.6822,7.9653,T02t28,J134630-323000,206.62712,-32.5,47.36947,89234.79358,6.3638,0.0,0.0,26.6,2.5999999046325684,2.049999952316284,-39.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T02t28.J134630-323000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dde70ev47kpo1gadf&CIRCLE=206.86819001747813+-32.86481947561882+0.025,1.3153563964093842
LoVoCCS-13,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-15,True,1.832,3299863.0,VLASS1QLCIR J232519.79-120727.0,38.0,59.0,351.33246816,-12.12418155,9.1e-07,5.2e-07,807.081,2.9170000553131104,336.299,0.3630000054836273,5.4246,0.008,3.4041,0.0039,17.7449,0.1524,767.611,1.8839999437332153,0.3630000054836273,0.004999999888241291,1.0449999570846558,-0.257,351.33258561,-12.12424236,9.1e-07,5.2e-07,M,2567.6145,0.00328,3212.66801,0.00188,2567.20092,0.00328,3212.4494,0.0019,5.4244,0.008,3.4041,0.0039,17.7026,0.1524,4.2797,0.008,2.6612,0.0039,22.5515,0.1524,4.2796,0.008,2.6612,0.0039,22.5093,0.1524,T07t36,J232608-123000,351.53351,-12.5,1.66889,3185.25025,14.4856,0.0,0.0,11.69,3.359999895095825,2.069999933242798,10.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T07t36.J232608-123000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dtrqk8jofzrr2exzs&CIRCLE=351.33246815575615+-12.124181551511214+0.025,1.8503679016260361
LoVoCCS-18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-21,True,0.556,1898158.0,VLASS1QLCIR J132756.82-312943.2,-30.0,54.0,201.9867849,-31.49533748,0.0,0.0,0.0,0.0,0.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.121,0.3310000002384186,0.1379999965429306,-0.004000000189989805,0.0,0.0,201.9867849,-31.49533748,0.0,0.0,E,1133.0,0.0,1876.0,0.0,1133.0,0.0,1876.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T03t21,J132659-313000,201.74995,-31.5,3.78751,84239.33266,1.8862,0.0,4.0,,2.5199999809265137,2.0199999809265137,-40.0,0.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T03t21.J132659-313000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dumo2qni4whjvmku7&CIRCLE=201.98678490251118+-31.49533747812706+0.025,0.5759553226457245
LoVoCCS-22,True,8.177,2905064.0,VLASS1QLCIR J203444.86-354920.4,3.0,8.0,308.68695587,-35.82235296,0.00013588,0.00016567,8.355,1.6959999799728394,1.114,0.20100000500679016,8.0268,1.5024,5.8746,1.0209,28.6066,29.9881,828.274,2.7019999027252197,0.23600000143051147,-0.006000000052154064,0.597000002861023,0.243,308.68695587,-35.82235296,0.00013588,0.00016567,C,177.02075,0.48916,694.61809,0.59642,177.02075,0.48916,694.6181,0.5964,8.0265,1.5024,5.8745,1.0209,28.9441,29.9881,7.3483,1.5024,5.5411,1.0209,27.656,29.9881,7.348,1.5024,5.541,1.0209,27.9935,29.9881,T02t42,J203226-353000,308.11039,-35.5,28.90908,102918.88971,0.7134,0.0,3.0,25.18,3.2300000190734863,1.940000057220459,32.0,0.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T02t42.J203226-353000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Db03ot0nwnstsyqai&CIRCLE=308.6869558665128+-35.82235295661075+0.025,8.180022419158758
LoVoCCS-24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-27,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-30,True,2.127,1312429.0,VLASS1QLCIR J091805.66-120543.2,29.0,38.0,139.52362153,-12.09535831,1.55e-06,2.47e-06,158.23,1.8489999771118164,185.613,1.1740000247955322,2.9308,0.0209,2.345,0.0132,178.7561,1.2791,7428.863,17.840999603271484,1.2389999628067017,-0.035999998450279236,5.48799991607666,0.77,139.52362153,-12.09535831,1.55e-06,2.47e-06,C,2130.73567,0.00559,3316.65864,0.00888,2130.73567,0.00559,3316.6586,0.0089,2.9307,0.0209,2.345,0.0132,178.74,1.2791,0.0,0.0209,0.0,0.0132,0.0,1.2791,0.0,0.0209,0.0,0.0132,0.0,1.2791,T07t14,J091824-123000,139.60053,-12.5,2.52096,14455.95822,0.1077,0.0,4.0,13.42,3.130000114440918,2.5799999237060547,-2.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T07t14.J091824-123000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dgtm8303z8l0k49cb&CIRCLE=139.52362153155076+-12.09535831126739+0.025,2.158867314750478
LoVoCCS-31,True,3.981,3125628.0,VLASS1QLCIR J221018.52-121012.0,33.0,37.0,332.57718573,-12.17001039,7.343e-05,6.647e-05,4.605,0.6179999709129333,1.649,0.16599999368190765,6.4668,0.8049,2.9468,0.2389,131.5919,8.2862,9.296,0.6840000152587891,0.16899999976158142,-0.004999999888241291,0.6140000224113464,0.566,332.57718573,-12.17001039,7.343e-05,6.647e-05,S,1784.91754,0.26435,3047.95299,0.23928,1784.91754,0.26435,3047.953,0.2393,6.4667,0.8049,2.9468,0.2389,131.5964,8.2862,5.7114,0.8049,1.5192,0.2389,125.2968,8.2862,5.7113,0.8049,1.5192,0.2389,125.3013,8.2862,T07t34,J221013-123000,332.55585,-12.5,3.3228,8299.65375,0.8586,0.0,1.0,195.88,3.4000000953674316,2.009999990463257,-18.0,0.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T07t34.J221013-123000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dmg7a17c7oywh4ut7&CIRCLE=332.577185732018+-12.170010393887393+0.025,3.9716964727965554
LoVoCCS-33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-35,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-39,True,7.828,2164352.0,VLASS1QLCIR J151846.14+061357.3,18.0,18.0,229.6922709,6.2325866,9.51e-06,2.635e-05,255.905,3.0829999446868896,86.64,0.20800000429153442,18.3816,0.2316,5.2138,0.0526,74.2876,0.8889,262.417,1.6920000314712524,0.20800000429153442,-0.007000000216066837,0.29499998688697815,0.108,229.69089314,6.23200621,9.51e-06,2.635e-05,M,1260.62437,0.03425,897.41443,0.09486,1265.55429,0.03425,895.3234,0.0949,18.3814,0.2316,5.2138,0.0526,74.2694,0.8889,18.1706,0.2316,4.4535,0.0526,74.321,0.8889,18.1704,0.2316,4.4535,0.0526,74.3028,0.8889,T12t23,J151805+063000,229.52479,6.5,4.54483,4.72427,0.4869,0.0,1.0,62.64,2.7899999618530273,2.700000047683716,52.0,0.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T12t23.J151805%2B063000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Do2ywcte524q47uu3&CIRCLE=229.6922708982828+6.2325866025039005+0.025,7.849071845491316
LoVoCCS-41A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-41B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-41C,True,2.038,1903649.0,VLASS1QLCIR J133010.33-020617.4,41.0,34.0,202.54307454,-2.10485515,0.00011483,5.103e-05,4.31,0.6899999976158142,1.59,0.1889999955892563,6.9252,1.0177,3.2567,0.3147,72.14,10.0524,61.778,1.7760000228881836,0.19200000166893005,-0.0010000000474974513,0.3310000002384186,0.257,202.54307454,-2.10485515,0.00011483,5.103e-05,C,1710.52259,0.41339,3282.50783,0.18371,1710.52259,0.41339,3282.5078,0.1837,6.9252,1.0177,3.2566,0.3147,72.1415,10.0524,6.3326,1.0177,1.3366,0.3147,72.6067,10.0524,6.3326,1.0177,1.3366,0.3147,72.6082,10.0524,T10t21,J133000-023000,202.50152,-2.5,9.08845,12.17567,0.7819,0.0,0.0,8.92,2.9800000190734863,2.7899999618530273,-1.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T10t21.J133000-023000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Db0jmzayqcix8ujuq&CIRCLE=202.54307454133132+-2.10485514642344+0.025,2.0537259128066405
LoVoCCS-41C,True,7.215,1903622.0,VLASS1QLCIR J133009.76-020620.0,42.0,34.0,202.54069785,-2.10555699,6.268e-05,9.31e-05,2.579,0.5590000152587891,1.352,0.2029999941587448,4.9255,0.8552,3.2218,0.417,26.172,18.328,61.778,1.7760000228881836,0.19200000166893005,-0.0010000000474974513,0.3310000002384186,0.257,202.54069785,-2.10555699,6.268e-05,9.31e-05,C,1719.07298,0.22564,3279.98152,0.33515,1719.07298,0.22564,3279.9815,0.3352,4.9254,0.8552,3.2217,0.417,26.1734,18.328,3.9511,0.8552,1.534,0.417,28.1944,18.328,3.951,0.8552,1.534,0.417,28.1958,18.328,T10t21,J133000-023000,202.50152,-2.5,13.79825,3.34108,1.0575,0.0,0.0,5.16,2.9800000190734863,2.7899999618530273,-1.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T10t21.J133000-023000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Db0jmzayqcix8ujuq&CIRCLE=202.54069784570615+-2.10555698969864+0.025,7.19195162947551
LoVoCCS-42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-45,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-46A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-46B,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-46C,True,0.969,3156111.0,VLASS1QLCIR J222347.79-013900.7,4.0,5.0,335.94914189,-1.65021606,2.032e-05,2.377e-05,3.563,0.34599998593330383,2.679,0.164000004529953,3.2233,0.2098,2.8046,0.162,153.9553,19.253,3.367,0.3179999887943268,0.15600000321865082,0.0010000000474974513,0.10100000351667404,0.01,335.94914189,-1.65021606,2.032e-05,2.377e-05,S,246.79,0.07315,1319.05761,0.08557,246.79,0.07315,1319.0576,0.0856,3.2233,0.2098,2.8045,0.162,153.9682,19.253,1.9453,0.2098,0.8419,0.162,132.2389,19.253,1.9453,0.2098,0.8419,0.162,132.2518,19.253,T10t34,J222200-013000,335.50084,-1.5,8.7917,0.04497,5.3739,0.0,0.0,199.14,2.819999933242798,2.4100000858306885,15.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t34.J222200-013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dnuh5cnpxhyz20pm6&CIRCLE=335.9491418900513+-1.65021605528403+0.025,0.9819682997377531
LoVoCCS-48A,True,1.1,1825053.0,VLASS1QLCIR J125711.57-172433.6,41.0,295.0,194.29823615,-17.40933432,1.43e-06,1.38e-06,280.813,3.009999990463257,174.883,0.36500000953674316,5.6873,0.0153,3.296,0.0071,43.5326,0.2641,221.526,4.377999782562256,0.36500000953674316,0.006000000052154064,2.118000030517578,-0.475,194.29854127,-17.40968829,1.43e-06,1.38e-06,M,3259.36252,0.00516,2184.90037,0.00498,3258.31173,0.00516,2183.6283,0.005,5.6872,0.0153,3.296,0.0071,43.4107,0.2641,4.989,0.0153,2.805,0.0071,39.5672,0.2641,4.9889,0.0153,2.805,0.0071,39.4453,0.2641,T06t20,J125849-173000,194.70561,-17.5,0.66472,33484.86059,30.281,0.0,0.0,8.62,2.799999952316284,1.6200000047683716,57.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T06t20.J125849-173000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dblexgs0ve0xto3x4&CIRCLE=194.29823615395787+-17.40933431782798+0.025,1.1286079241077427
LoVoCCS-48A,True,4.087,1825050.0,VLASS1QLCIR J125711.53-172429.5,-260.0,299.0,194.29805311,-17.40819515,0.0,0.0,0.0,0.0,2.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.293,0.6019999980926514,0.36500000953674316,0.006000000052154064,0.0,0.0,194.29805311,-17.40819515,0.0,0.0,E,3260.0,0.0,2189.0,0.0,3260.0,0.0,2189.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T06t20,J125849-173000,194.70561,-17.5,4.67272,33480.77613,1.2979,0.0,4.0,,2.799999952316284,1.6200000047683716,57.0,0.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T06t20.J125849-173000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dblexgs0ve0xto3x4&CIRCLE=194.2980531115168+-17.40819515408894+0.025,4.086353984701923
LoVoCCS-48A,True,5.952,1825064.0,VLASS1QLCIR J125711.81-172437.5,-258.0,297.0,194.29921264,-17.41041975,0.0,0.0,0.0,0.0,2.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.186,0.7900000214576721,0.36500000953674316,0.007000000216066837,0.0,0.0,194.29921264,-17.41041975,0.0,0.0,E,3256.0,0.0,2181.0,0.0,3256.0,0.0,2181.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T06t20,J125849-173000,194.70561,-17.5,4.49407,33488.68553,0.7705,0.0,4.0,,2.799999952316284,1.6200000047683716,57.0,0.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T06t20.J125849-173000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dblexgs0ve0xto3x4&CIRCLE=194.29921263873825+-17.41041974737076+0.025,5.976032866172024
LoVoCCS-48A,True,9.684,1825078.0,VLASS1QLCIR J125712.16-172431.5,43.0,295.0,194.30067194,-17.40875604,6.473e-05,4.642e-05,1.983,0.628000020980835,1.983,0.34599998593330383,2.796,0.6399,1.6227,0.2155,57.0011,16.3507,221.526,4.377999782562256,0.36500000953674316,0.006000000052154064,2.118000030517578,-0.475,194.30067194,-17.40875604,6.473e-05,4.642e-05,C,3251.0,0.23302,2187.0,0.1671,3251.0,0.23302,2187.0,0.1671,2.796,0.6399,1.6227,0.2155,56.88,16.3507,0.0,0.6399,0.0,0.2155,90.1212,16.3507,0.0,0.6399,0.0,0.2155,90.0,16.3507,T06t20,J125849-173000,194.70561,-17.5,8.25411,33482.57686,0.0226,0.0,0.0,8.62,2.799999952316284,1.6200000047683716,57.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T06t20.J125849-173000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dblexgs0ve0xto3x4&CIRCLE=194.30067193699108+-17.408756039491738+0.025,9.710832338863954
